Manufacturer,Model,Application,Takeoff Thrust [lbf],Takeoff Thrust [N],Thrust (Cruise) [lbf],Thrust (Cruise) [N],"SFC (h=0,M=0) [lb/lbf hr]","SFC (h=0,M=0) [kg/s.N]",SFC (Cruise) [lb/lbf hr],SFC (Cruise) [kg/s.N],OPR_ Sea lvl,Cruise Altitude (h) [ft],Cruise Altitude (h) [Km],Cruise Temperature [K],Mach Number,C_a [Kg/N.m],C_b [Kg/N.s],BPR,Entry into service,Dry Mass [lb],Dry Mass [kg],Number of spools,Fan Diameter [in],Fan Diameter [m],Length [in],Length [m],Width/Diameter [in],Width/Diameter [m],Engine Volume [m^3],,,,,
Allison (RollsRoyce),AE3007A,"ERJ135ER, ERJ145ER",7580,33718,NA,NA,0.360,1.0115E-05,0.650,1.8266E-05,24.00,NA,NA,NA,0.80,NA,NA,5.30,1991,1586,719,2,38.50,0.9779,106.50,2.7051,43.50,1.1049,2.5937,,,,,
Allison (Rolls-Royce),AE3007A1,"ERJ-135ER, ERJ-145ER",7580,33718,NA,NA,0.360,1.0115E-05,0.650,1.8266E-05,24.00,NA,NA,NA,0.80,NA,NA,5.30,1991,1586,719,2,38.50,0.9779,106.50,2.7051,43.50,1.1049,2.5937,,Sea Lvl Temperature T_0                            [K]:,,288.16,
Allison (Rolls-Royce),AE3007A1/1,"ERJ-135ER/LR, ERJ-145LR",7580,33718,NA,NA,0.390,1.0958E-05,0.650,1.8266E-05,NA,NA,NA,NA,0.80,NA,NA,5.30,1991,1586,719,2,38.50,0.9779,106.50,2.7051,43.50,1.1049,2.5937,,,,,
Allison (Rolls-Royce),AE3007A1/3,"ERJ-135LR, ERJ-140, Legacy Corporate Shuttle",7200,32027,NA,NA,0.390,1.0958E-05,0.650,1.8266E-05,NA,NA,NA,NA,0.80,NA,NA,5.30,1991,1586,719,2,38.50,0.9779,106.50,2.7051,43.50,1.1049,2.5937,,adiabatic thermal gradient a_h [K/Km]:,,-6.5,
Allison (Rolls-Royce),AE3007A1E,ERJ-145XR,8110,36075,NA,NA,0.390,1.0958E-05,0.650,1.8266E-05,NA,NA,NA,NA,0.80,NA,NA,5.30,1991,1586,719,2,38.50,0.9779,106.50,2.7051,43.50,1.1049,2.5937,,,,,
Allison (Rolls-Royce),AE3007A1P,"ERJ-145LR, Legacy Executive ",7580,33718,NA,NA,0.390,1.0958E-05,0.650,1.8266E-05,NA,NA,NA,NA,0.80,NA,NA,5.30,1991,1586,719,2,38.50,0.9779,106.50,2.7051,43.50,1.1049,2.5937,,Sound speed a_0 [m/s]:,,340.294,
Allison (Rolls-Royce),AE3007A3,ERJ-135,7000,31138,NA,NA,0.390,1.0958E-05,0.650,1.8266E-05,NA,NA,NA,NA,0.80,NA,NA,5.30,1991,1586,719,2,38.50,0.9779,106.50,2.7051,43.50,1.1049,2.5937,,,,,
Allison (Rolls-Royce),AE3007C,Citation X,6442,28655,NA,NA,0.390,1.0958E-05,0.650,1.8266E-05,NA,NA,NA,NA,0.80,NA,NA,5.30,1991,1586,719,2,38.50,0.9779,106.50,2.7051,43.50,1.1049,2.5937,,,,,
Allison (Rolls-Royce),AE3007C1,Citation X ,6764,30088,NA,NA,0.390,1.0958E-05,0.650,1.8266E-05,NA,NA,NA,NA,0.80,NA,NA,5.30,1991,1586,719,2,38.50,0.9779,106.50,2.7051,43.50,1.1049,2.5937,,,,,
Ivchenko (Klimov),AI-25,Yak-40,3300,14679,976,4341,0.570,1.6015E-05,0.795,2.2340E-05,8.00,20000,6.096,248.536,0.50,4.7253E-08,1.4874E-05,2.10,1966,705,320,2,NA,NA,78.50,1.9939,35.30,0.8966,1.2590,,,,,
Ivchenko (Klimov),AI-25A,Yak-40A,3850,17126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.10,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Avco Lycoming,ALF301 ,Technology demonstrator,2730,12144,NA,NA,0.440,1.2363E-05,NA,NA,9.00,NA,NA,NA,NA,NA,NA,5.60,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Avco Lycoming,ALF501,Technology demonstrator,5800,25800,NA,NA,0.400,1.1239E-05,NA,NA,9.30,NA,NA,NA,NA,NA,NA,6.00,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Avco Lycoming,ALF502L,Challenger 600,7500,33362,2150,9564,0.428,1.2026E-05,0.730,2.0514E-05,13.60,30000,9.144,228.724,0.75,4.3099E-08,1.0714E-05,5.20,1980,1311,595,2,NA,NA,65.60,1.6662,50.00,1.2700,2.1107,,,,,
Avco Lycoming,ALF502L-2,Challenger 600,7500,33362,7500,33362,0.428,1.2026E-05,0.730,2.0514E-05,13.60,30000,9.144,228.724,0.75,4.3099E-08,1.0714E-05,5.70,1980,1311,595,2,NA,NA,65.60,1.6662,50.00,1.2700,2.1107,,,,,
